title,rent_type,district,sub_district,community,area,orientation,bedrooms,living_rooms,bathrooms,tags,platform,price
整租·润枫领尚 4室2厅 南,整租,通州,通州其它,润枫领尚,175.0,175.00㎡,4.0,2.0,2.0,官方核验|近地铁|精装|双卫生间,链家,11000
整租·西苑医院 2室1厅 南/北,整租,海淀,颐和园,西苑医院,69.34,69.34㎡,2.0,1.0,1.0,自营|新上|近地铁|集中供暖|押一付一|随时看房|首次出租,贝壳优选,6500
整租·K2玉蘭湾 3室2厅 南/北,整租,通州,九棵树(家乐福),K2玉蘭湾,140.0,140.00㎡,3.0,2.0,2.0,官方核验|近地铁|精装|集中供暖|双卫生间|随时看房,链家,8800
整租·北街家园六区 2室1厅 东,整租,昌平,沙河,北街家园六区,63.0,63.00㎡,2.0,1.0,1.0,官方核验|精装|集中供暖,链家,3600
整租·德胜置业 2室1厅 南,整租,西城,六铺炕,德胜置业,99.0,99.00㎡,2.0,1.0,1.0,自营|新上|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,11500
独栋·天盛嘉寓 金鑫公寓 俸伯青年公寓，独立单间，超高性价比，全屋地暖，品质公寓，入住安全 开间,其他,,,,23.0,23.00㎡,1.0,0.0,1.0,独栋公寓|月租|精装|开放厨房,天盛嘉寓,1000
整租·潭墅苑 5室2厅 南/北,整租,门头沟,门头沟其它,潭墅苑,286.0,286.00㎡,5.0,2.0,3.0,官方核验|集中供暖,链家,13800
整租·丽水湾畔家园 2室1厅 西,整租,东城,广渠门,丽水湾畔家园,130.0,130.00㎡,2.0,1.0,1.0,官方核验|近地铁|精装|集中供暖,链家,12000
整租·朗润园二期 3室2厅 南/北,整租,大兴,旧宫,朗润园二期,103.92,103.92㎡,3.0,2.0,1.0,自营|新上|近地铁|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,6300
整租·石桥东区 2室1厅 南/北,整租,密云,鼓楼街道,石桥东区,58.39,58.39㎡,2.0,1.0,1.0,官方核验|精装|集中供暖|随时看房,链家,800
整租·蓝岸丽舍一期 5室5厅 东/南/西/北,整租,顺义,顺义其它,蓝岸丽舍一期,498.0,498.00㎡,5.0,5.0,5.0,官方核验|精装,链家,16800
整租·华纺易城 2室1厅 西北,整租,朝阳,朝青,华纺易城,97.01,97.01㎡,2.0,1.0,2.0,自营|新上|精装|集中供暖|押一付一|双卫生间|随时看房|首次出租,贝壳优选,7850
整租·杨庄小区 3室1厅 南/北,整租,石景山,杨庄,杨庄小区,90.45,90.45㎡,3.0,1.0,1.0,官方核验|精装|集中供暖,链家,5200
整租·7克拉 3房间 复式 西,整租,丰台,马家堡,7克拉,31.99,31.99㎡,,,,官方核验|近地铁|集中供暖|双卫生间|随时看房,链家,7200
整租·农光里 1室1厅 南,整租,朝阳,劲松,农光里,53.39,53.39㎡,1.0,1.0,1.0,自营|新上|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,4800
独栋·萌芽 爱琴海 抢！海淀精装修公寓、独立小院可烧烤、宠物友好16号线首选 1室1厅,其他,,,,25.0,25.00㎡,1.0,1.0,1.0,独栋公寓|月租|精装|开放厨房,萌芽,3000
整租·十里春风 3室1厅 南/北,整租,通州,通州其它,十里春风,90.83,90.83㎡,3.0,1.0,1.0,官方核验|集中供暖|随时看房,链家,800
整租·贵都国际 1室0厅 东,整租,西城,天宁寺,贵都国际,380.0,380.00㎡,1.0,0.0,1.0,官方核验,链家,44000
整租·汽修一厂宿舍 2室1厅 南,整租,朝阳,奥林匹克公园,汽修一厂宿舍,60.15,60.15㎡,2.0,1.0,1.0,自营|新上|精装|集中供暖|押一付一|随时看房|首次出租,贝壳优选,6090
整租·万和风景 4室2厅 南/北,整租,密云,鼓楼街道,万和风景,330.0,330.00㎡,4.0,2.0,2.0,官方核验|精装|集中供暖|双卫生间,链家,5000
整租·石园北区 3室1厅 南/北,整租,顺义,顺义城,石园北区,133.68,133.68㎡,3.0,1.0,2.0,官方核验|集中供暖|双卫生间,链家,4000
