city,title,price,price_per_sqm,area,bedrooms,living_rooms,bathrooms,floor,total_floors,orientation,district,subway,agency,url,scrape_time,layout_type,orientation_clean,price_category,area_category,floor_category
深圳,优质1居室,17504,135.79183829316457,52.91119020859722,3,2,2,23,14,东,天府新区,False,我爱我家,https://example.com/listing/0,2025-12-11 20:56:45,3居,东,高价,小户型,高楼层
成都,优质1居室,5719,232.29337188736199,113.35691506724733,3,2,1,7,20,西北,天府新区,False,个人,https://example.com/listing/1,2025-12-11 20:56:45,3居,西北,低价,较大,中楼层
广州,优质3居室,2302,213.0729121479849,56.245873559751274,3,2,1,26,16,南,朝阳区,True,我爱我家,https://example.com/listing/2,2025-12-11 20:56:45,3居,南,低价,小户型,高楼层
成都,优质2居室,14144,261.4010907474767,101.43639191129868,2,1,1,12,29,东,天府新区,False,链家,https://example.com/listing/3,2025-12-11 20:56:45,2居,东,中高价,较大,中楼层
成都,优质1居室,19370,223.12320666730633,61.75620323104288,4,2,1,8,11,西北,浦东新区,True,中原地产,https://example.com/listing/4,2025-12-11 20:56:45,四居及以上,西北,高价,中等,高楼层
上海,优质3居室,12055,157.48276934753704,109.43627337526424,1,2,1,5,22,北,海淀区,True,我爱我家,https://example.com/listing/5,2025-12-11 20:56:45,1居,北,中高价,较大,低楼层
广州,优质2居室,6440,218.2416555986081,127.7927674248647,3,1,1,10,19,西,武侯区,True,个人,https://example.com/listing/6,2025-12-11 20:56:45,3居,西,低价,大户型,中楼层
广州,优质1居室,5072,118.84529356385463,123.36302917735838,3,1,2,28,10,北,浦东新区,True,中原地产,https://example.com/listing/7,2025-12-11 20:56:45,3居,北,低价,大户型,高楼层
广州,优质2居室,15598,126.57837469455318,121.3021597116938,2,2,2,21,30,东南,浦东新区,True,麦田房产,https://example.com/listing/8,2025-12-11 20:56:45,2居,东南,高价,大户型,高楼层
成都,优质3居室,16287,247.24628998019833,52.52668868307025,4,1,1,5,16,东,海淀区,True,个人,https://example.com/listing/9,2025-12-11 20:56:45,四居及以上,东,高价,小户型,中楼层
深圳,优质1居室,15965,161.60487910039555,40.606193638142244,3,1,1,17,15,东,武侯区,True,我爱我家,https://example.com/listing/10,2025-12-11 20:56:45,3居,东,高价,小户型,高楼层
广州,优质2居室,11519,249.5950851295881,113.87385941848628,2,1,2,26,24,西,浦东新区,False,中原地产,https://example.com/listing/11,2025-12-11 20:56:45,2居,西,中高价,较大,高楼层
成都,优质1居室,15380,255.6055934170696,74.20166565532216,1,2,2,5,7,西南,天府新区,False,个人,https://example.com/listing/12,2025-12-11 20:56:45,1居,西南,中高价,中等,高楼层
上海,优质2居室,13865,264.390584415321,81.88154716840168,1,1,2,22,6,东,海淀区,False,中原地产,https://example.com/listing/13,2025-12-11 20:56:45,1居,东,中高价,中等,高楼层
深圳,优质3居室,10125,279.1588089603018,33.73789113520693,3,2,1,15,10,南,武侯区,False,中原地产,https://example.com/listing/14,2025-12-11 20:56:45,3居,南,中低价,小户型,高楼层
上海,优质3居室,5291,157.74630512832405,61.1491739130059,3,2,1,13,28,东北,南山区,True,中原地产,https://example.com/listing/15,2025-12-11 20:56:45,3居,东北,低价,中等,中楼层
深圳,优质1居室,6033,129.71670458028473,34.04116846493568,4,2,2,28,26,东,朝阳区,True,我爱我家,https://example.com/listing/16,2025-12-11 20:56:45,四居及以上,东,低价,小户型,高楼层
成都,优质2居室,7105,195.54968664852848,135.5022927121497,4,2,1,1,29,东北,天府新区,False,个人,https://example.com/listing/17,2025-12-11 20:56:45,四居及以上,东北,中低价,大户型,低楼层
北京,优质1居室,19087,142.7931058594069,59.20760198622366,3,1,1,11,34,北,海淀区,True,链家,https://example.com/listing/18,2025-12-11 20:56:45,3居,北,高价,中等,中楼层
深圳,优质1居室,10133,200.26854170005825,96.88046034876096,2,2,1,23,9,西南,朝阳区,True,链家,https://example.com/listing/19,2025-12-11 20:56:45,2居,西南,中低价,较大,高楼层
上海,优质2居室,18958,226.39646566095615,34.677518479335646,4,1,2,1,22,西北,南山区,True,我爱我家,https://example.com/listing/20,2025-12-11 20:56:45,四居及以上,西北,高价,小户型,低楼层
成都,优质2居室,7704,222.1012546230342,110.02168695667896,3,2,2,11,20,南北,浦东新区,False,我爱我家,https://example.com/listing/21,2025-12-11 20:56:45,3居,南北,中低价,较大,中楼层
深圳,优质2居室,9848,143.63822175503034,68.76328149049127,4,1,1,18,12,西南,浦东新区,True,中原地产,https://example.com/listing/22,2025-12-11 20:56:45,四居及以上,西南,中低价,中等,高楼层
北京,优质3居室,14975,91.7150504246882,137.7503024349199,3,2,1,18,29,南北,武侯区,False,个人,https://example.com/listing/23,2025-12-11 20:56:45,3居,南北,中高价,大户型,中楼层
北京,优质1居室,8924,157.63233461555188,136.5741826720843,1,1,1,21,34,北,海淀区,True,个人,https://example.com/listing/24,2025-12-11 20:56:45,1居,北,中低价,大户型,中楼层
